year,state,totVotes,demVotes,demPct,demEV,gopVotes,gopPct,gopEV,VEP,VAP,pctNonCit,prison,probation,parole,felon,turntE,turntA,demPres,demVice,gopPres,gopVice,demPresBorn,demViceBorn,gopPresBorn,gopViceBorn,ageAll,age4,age17,age24,age44,age64,ageOld,ageMed,gsp,pop,white,black,native,asian,pacific,mult
2008,Nevada,967848,533736,55.1,5,412827,42.7,0,1696831,2000277,0.141,12743,13337,3908,21366,0.570385619,0.483856986,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,131233,,,,,,,
2008,New Hampshire,707611,384826,54.4,4,316534,44.7,0,992226,1021787,0.026,2702,0,0,2702,0.713155067,0.692523001,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,60005,,,,,,,
2008,New Jersey,3868237,2215422,57.3,15,1613207,41.7,0,5776527,6651284,0.117,25953,128737,15849,98246,0.669647524,0.581577482,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,474936,,,,,,,
2008,New Mexico,830158,472422,56.9,5,346832,41.8,0,1362629,1505830,0.083,6402,20883,3724,18706,0.609232594,0.551295963,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,79901,,,,,,,
2008,New York,7591233,4769700,62.8,31,2742298,36.1,0,12948969,14876971,0.124,60347,0,52225,86460,0.586242271,0.510267379,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,1144481,,,,,,,
2008,North Carolina,4310789,2142651,49.7,15,2128474,49.4,0,6584302,7096503,0.059,39482,109678,3409,96026,0.654707059,0.607452572,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,400192,,,,,,,
2008,North Dakota,316621,141278,44.6,0,168601,53.3,3,504762,512768,0.013,1452,0,0,1452,0.627267901,0.617474179,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,31208,,,,,,,
2008,Ohio,5698260,2933388,51.5,20,2674491,46.9,0,8513079,8757453,0.022,51686,0,0,51686,0.669353591,0.650675487,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,471508,,,,,,,
2008,Oklahoma,1462661,502496,34.4,0,960165,65.6,7,2619121,2770219,0.04,25864,27940,3073,41371,0.558454917,0.527994718,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,146448,,,,,,,
2008,Oregon,1827864,1037291,56.7,7,738475,40.4,0,2700327,2916246,0.069,14167,0,0,14167,0.676904686,0.626786629,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,161573,,,,,,,
2008,Pennsylvania,6034745,3276363,54.3,21,2655885,44,0,9457942,9813664,0.031,49215,0,0,49215,0.638061113,0.614932914,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,553301,,,,,,,
2008,Rhode Island,469767,296571,63.1,4,165391,35.2,0,763608,825786,0.07,4045,0,0,4045,0.615193921,0.568872565,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,47364,,,,,,,
2008,South Carolina,1920969,862449,44.9,0,1034896,53.9,8,3311044,3473488,0.034,24326,41254,1947,45927,0.580170182,0.553037466,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,156384,,,,,,,
2008,South Dakota,381975,170924,44.7,0,203054,53.2,3,590720,602539,0.012,3342,0,2720,4702,0.646626151,0.633942367,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,36959,,,,,,,
2008,Tennessee,2599749,1087437,41.8,0,1479178,56.9,11,4563192,4771926,0.031,27228,58109,10578,61572,0.56972159,0.544800779,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,252127,,,,,,,
2008,Texas,8077795,3528633,43.7,0,4479328,55.5,34,14929810,17756112,0.135,172506,427080,102921,437507,0.541051427,0.454930392,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,1223511,,,,,,,
2008,Utah,952370,327670,34.4,0,596030,62.6,5,1700286,1840087,0.072,6552,0,0,6552,0.560123415,0.517567919,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,109777,,,,,,,
2008,Vermont,325046,219262,67.5,3,98974,30.4,0,482677,492610,0.02,0,0,0,0,0.673423428,0.659844502,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,25442,,,,,,,
2008,Virginia,3723260,1959532,52.6,13,1725005,46.3,0,5555415,6022123,0.066,38276,53614,4471,67319,0.670203756,0.618263692,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,397025,,,,,,,
